date,satisfaction_ratings,age_range,usage_ratings,condition,gender,consumer,effectiveness_ratings,comment,duration
11/3/2015,1,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,1,This med made my stomach upset. Was going to the bathroom a lot at night. At least 3 to 4 times. I did loose about 5lbs. Terrible yeast infections. A1c did go up. on it for only 3 months    ,less than 1 month
10/31/2015,3,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,3,"My blood sugars have never gone over 6.9 and taking this pill has made my blood sugars 21.9, fasting, this meds is not helping my blood sugar or Hbalc level. Not working on my weigh eigher, makes me urinate a lot",1 to 6 months
10/25/2015,4,65-74,5,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,5,"My blood sugars have never gone over 6.9 and taking this pill has made my blood sugars 21.9, fasting, this meds is not helping my blood sugar or Hbalc level. Not working on my weigh eigher, makes me urinate a lot",1 to 6 months
10/19/2015,1,35-44,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,4,Been taking this med for 2 months and first symptom is heavy thirst.  Dropped a few pounds but that reversed. Many trip to the bathroom during waking hours.  Recent warning for Ketoacidosis but have not test to confirm.  May stop med after this round runs out.  ,1 to 6 months
1/5/2016,1,45-54,1,"
					Condition: Type 2 Diabetes Mellitus",NA,Patient,1,"I took 100mg 2x a day for almost 2 weeks and did not have a blood sugar reading under 200. I then went up to 300mg 2x a day and my blood sugar readings got worse. I drank fluids like there was no tomorrow and went to the bathroom constantly. I would get so light headed in the mornings that I could hardly function. My doctor can't believe that I had so many issues because all his other patients
					...
					",less than 1 month
12/31/2015,1,45-54,4,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,1,I took 100mg 2x a day for almost 2 weeks and did not have a blood sugar reading under 200. I then went up to 300mg 2x a day and my blood sugar readings got worse. I drank fluids like there was no tomorrow and went to the bathroom constantly. I would get so light headed in the mornings that I could hardly function. My doctor can't believe that I had so many issues because all his other patients are doing great on it but I would not recommend this drug to anyone. I was miserable.,6 months to less than 1 year
12/19/2015,5,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",NA,Patient,5,"I took invokana for about six months, The drug made me urinate often and I did loose about 4 lbs. I was recently treated for a irregular heartbeat and had to have an ablation of my left ventriculle. I have since stopped the med after my surgery, I never had heart issues until I took this drug and I feel this made have been the catalyst to my irregular heart beat symptoms ",1 to 6 months
11/16/2015,4,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,5,"I took invokana for about six months, The drug made me urinate often and I did loose about 4 lbs. I was recently treated for a irregular heartbeat and had to have an ablation of my left ventriculle. I have since stopped the med after my surgery, I never had heart issues until I took this drug and I feel this made have been the catalyst to my irregular heart beat symptoms ",6 months to less than 1 year
11/5/2015,1,"-,-,65-74",3,"
					Condition: Type 2 Diabetes Mellitus",Female,NA,2,I have been on 300 milligrams for 3 months.  I have been a diabetic for 20 years.  With 2000 milligrams of metformin I got my a1c down from 8.1 to 6.8.  Over time metformin looses effectiveness.  I lost 13 lbs.  Only side effect is increased urination which will go down over time.  I have less yeast infections as well.  I am very pleased with this drug so far., for 1 to 6 months
3/1/2016,5,25-34,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,"I see a lot of comments about adverse effects of frequent urination, loose bowels, yeast infections, excessive thirst...This medication enables your kidneys to filter out the glucose in your system. This is not a normal kidney function. This medication is meant to aid you not do all the work for you. You are thirsty and pee a lot because your kidneys are working overtime to release the glucose. Ye
					...
					",1 to 6 months
2/9/2016,5,35-44,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,"I see a lot of comments about adverse effects of frequent urination, loose bowels, yeast infections, excessive thirst...This medication enables your kidneys to filter out the glucose in your system. This is not a normal kidney function. This medication is meant to aid you not do all the work for you. You are thirsty and pee a lot because your kidneys are working overtime to release the glucose. Yeast infections occur due to peeing out the glucose. I've been taking invokana for 6 months, I use cranberry vitamin and have never had a yeast or bladder infection. I only get loose stools if I hate something I shouldn't such as grease, excessive sugar or fatty meals. Eating a healthy diet and incorporating exercise in has eliminated all side effects, I still pee a lot and drink as much as I can, this medication will over work your kidneys thus leading to dehydration. Drink plenty of water and you will be fine. Eat better, exercise, don't use it as a band-aid while continuing unhealthy habits. Of course results will be different for everyone but I assure you, following these simple steps will help you achieve your goals. Stay Strong!!",1 to 6 months
1/19/2016,5,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,5,This medication has worked wonders for me. I have been on the medicine for about 1 month and My HA1C came down from a 12.4 to a 7.9!!!!!! To God be the glory with chanbge of eating and exercise. ,6 months to less than 1 year
1/13/2016,5,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,This medication has worked wonders for me. I have been on the medicine for about 1 month and My HA1C came down from a 12.4 to a 7.9!!!!!! To God be the glory with chanbge of eating and exercise. ,1 to less than 2 years
1/7/2016,5,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,"I have been a diabetic for over 10 years and have never been able to lower my A1C. My numbers increased from the start until my PCP put me on Invokana. My last reading before being put on this medication was past 8.0. I have been on it for almost 6 months and my A1C has dropped to 6.6. This is the first time my A1C ever went down. I do have to urninate more than before but if my A1C is finally get
					...
					",less than 1 month
8/17/2016,5,35-44,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,I started taking this in December. I am down 30 pounds and eating and drinking normal. ,6 months to less than 1 year
7/13/2016,3,55-64,4,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,4,I started taking this in December. I am down 30 pounds and eating and drinking normal. ,No duration input
6/9/2016,5,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,5,blood sugar levels have in approved.  but constantly having yeast and bladder infections.  also nausea.,1 to less than 2 years
5/20/2016,1,45-54,1,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,1,blood sugar levels have in approved.  but constantly having yeast and bladder infections.  also nausea.,less than 1 month
4/25/2016,4,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,"I have taken this drug for over a year now and my A1C under control and easier to manage.  Currently I take  Invokana with Janumet each day and my A1C has consistently been at 5.5.  These results were not instant and took about 6-9 months to acheive.  I have also lost about 2-3 pounds per month totaling just over 50 pounds and weight loss began immediately.  I did have suffer from a UTI once I beg
					...
					",1 to less than 2 years
10/26/2016,5,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",NA,Patient,5,"I've been taking for a little over a month and a half.   I lost 8 lbs, in the first month, my fasting blood sugars have dropped from the 160s to the low 90s.  Mid day and pre/post meal numbers have dropped from around 190s to the 120s.  No problems with UTI so far.  Drinking 120 oz of water/day (three 40oz hydroflask bottles).  I am waking in the night once or twice to use the bathroom so, not
					...
					",1 to 6 months
9/7/2016,4,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,4,"I've been taking for a little over a month and a half.   I lost 8 lbs, in the first month, my fasting blood sugars have dropped from the 160s to the low 90s.  Mid day and pre/post meal numbers have dropped from around 190s to the 120s.  No problems with UTI so far.  Drinking 120 oz of water/day (three 40oz hydroflask bottles).  I am waking in the night once or twice to use the bathroom so, not sleeping as well (more time spent in a REM (dreaming) state).  First month on 100mg/day. Currently on 200mg/day after cutting glyburide in half.  Couldn't be happier with the reduction in blood sugar numbers.  Plan is to continue to take invokana and come off the glyburide completely(metformin also hopefully)",1 to less than 2 years
9/4/2016,5,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,"At first, I suffered from increased UTI's but that subsided over 3-6 months.  Lost 10 pounds and A1C dropped from 11.2 to 7.0 over six months.  I do get up at least once each night to urinate, but a lot of that is due to my increased intake of water to stay hydrated.  Overall I am pleased with this drug and have had minimal side effects.",6 months to less than 1 year
9/1/2016,1,35-44,1,"
					Condition: Type 2 Diabetes Mellitus",NA,Patient,1,"At first, I suffered from increased UTI's but that subsided over 3-6 months.  Lost 10 pounds and A1C dropped from 11.2 to 7.0 over six months.  I do get up at least once each night to urinate, but a lot of that is due to my increased intake of water to stay hydrated.  Overall I am pleased with this drug and have had minimal side effects.",less than 1 month
8/25/2016,1,45-54,1,"
					Condition: Type 2 Diabetes Mellitus",NA,Patient,1,"lost wieght ,felt better all round. side effects thrush. uti. had to have extra antibiotics and thrush meds. bladder area ached.felt more alert. people commented i looked much better.
",1 to 6 months
5/7/2017,5,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",NA,Patient,5,"I have been taking Invokana 100mg for almost two months now and have really started to see in improvement in my blood sugar levels. I am following a low-carb diet and so far I have lost 17 lbs. I am drinking plenty of fluids and haven't had a trouble from side-effects, so I am very happy with it. ",1 to 6 months
12/19/2016,4,35-44,4,"
					Condition: Type 2 Diabetes Mellitus",NA,Patient,4,"I have been taking Invokana 100mg for almost two months now and have really started to see in improvement in my blood sugar levels. I am following a low-carb diet and so far I have lost 17 lbs. I am drinking plenty of fluids and haven't had a trouble from side-effects, so I am very happy with it. ",1 to 6 months
11/25/2016,5,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",NA,Patient,5,"I was very skeptical of taking this at first because of the side effects. I started taking it and so far so good. No side effects, I also have been taking them with cranberry pills to help as a precaution from the side effects. I haven't had my A1C checked yet, however my daily blood sugars have gone from mid 200's to low 100""s and I feel a little better. sometimes it goes a little lo
					...
					",less than 1 month
11/21/2016,3,55-64,4,"
					Condition: Type 2 Diabetes Mellitus",NA,Patient,4,"I was very skeptical of taking this at first because of the side effects. I started taking it and so far so good. No side effects, I also have been taking them with cranberry pills to help as a precaution from the side effects. I haven't had my A1C checked yet, however my daily blood sugars have gone from mid 200's to low 100""s and I feel a little better. sometimes it goes a little low and I get the symptoms of low blood sugar, but I just snack a little and I feel fine. it's always scary reading the reviews of what every thinks and says, because you don't how it's going to inner act with your body and the medication your already taking. I also take metformin and glyburide and insulin and I have cut back and some days I don't take them all because of fear of too low blood sugar. so, it's still early in my fight to be under and in control of my sugar, but I'm still fighting.  ",1 to less than 2 years
11/18/2016,5,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",NA,Patient,5," Started with an a1c of 10 and sugar at 250. First 2 days as my sugar dropped was extremely depressed and felt really bad. Talked to dr.and he explainex completely normal because my body is  to high sugar. 2 weeks later, no side effects. Headaches gone, feel good  and blood sugar averages 150 or less. On a low carb eating plan. Looking forward to see what blood sugar will be in another 2 weeks! Mo
					...
					",6 months to less than 1 year
7/1/2014,5,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,5,Have been on Invokana 300mg onace a day for 6 months. Last A1c is 6.9. It works. Like the ease of usage. Have had diabetes for 23 years. Definitely a keeper with no side effects. Of course the savings card helped me. Without that would be expensive.,1 to 6 months
6/25/2014,5,65-74,5,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,5,Have been on Invokana 300mg onace a day for 6 months. Last A1c is 6.9. It works. Like the ease of usage. Have had diabetes for 23 years. Definitely a keeper with no side effects. Of course the savings card helped me. Without that would be expensive.,less than 1 month
6/18/2014,2,55-64,4,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,3,Reduced blood sugar by over 100 points ,less than 1 month
6/16/2014,5,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,Reduced blood sugar by over 100 points ,1 to 6 months
6/13/2014,5,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,blood sugar level keeps droping to60 or below.,1 to 6 months
7/15/2014,1,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,"It did help my Blood Sugars to come down.  But, had to get off of it because of the yeast infections.",1 to less than 2 years
7/9/2014,5,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,"It did help my Blood Sugars to come down.  But, had to get off of it because of the yeast infections.",1 to 6 months
7/9/2014,5,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,My numbers came down the same day I used this medication! From the 200 and 300 to 167's. I am still seeing a decline and I am Thrilled. It's only been a month and I see numbers that I haven't seen in years. 18 years type II and this is THE drug that finally did the trick for me. No side effects at all. I take the 100 dose. I am very very happy.,1 to 6 months
7/8/2014,2,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,3,My numbers came down the same day I used this medication! From the 200 and 300 to 167's. I am still seeing a decline and I am Thrilled. It's only been a month and I see numbers that I haven't seen in years. 18 years type II and this is THE drug that finally did the trick for me. No side effects at all. I take the 100 dose. I am very very happy.,1 to 6 months
7/2/2014,3,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,4,I have been on this medication for 2 mos. now with no notice of a consistant drop in my blood sugar.It is wonderful as far as no side effects but cannot KEEP a decent range on my sugar. Granted I have only been diagnosed since May.,6 months to less than 1 year
8/16/2014,5,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,5,"So far no side effects 
",1 to 6 months
8/12/2014,1,65-74,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,1,"So far no side effects 
",less than 1 month
7/25/2014,4,45-54,4,"
					Condition: Type 2 Diabetes Mellitus",Male,Caregiver,4,"I had terrible leg cramps more often than usual. I lost 5 pounds in 2 days. Excessive urination caused dehydration. I already had problems with dehydration, so I stopped taking the med. Very disapponited that I had to stop",2 to less than 5 years
7/18/2014,5,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,5,"I had terrible leg cramps more often than usual. I lost 5 pounds in 2 days. Excessive urination caused dehydration. I already had problems with dehydration, so I stopped taking the med. Very disapponited that I had to stop",1 to 6 months
7/17/2014,5,35-44,5,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,5,I've been taking Invokana for three months now. I'm was on Lantus 40 unit daily before starting this medication. Since taking it i am down to 20 units Lantus daily. i also take Janumet xr 100-1000. I'm hoping to get off my Lantus in a few months,less than 1 month
9/11/2014,1,55-64,3,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,3,"I do not recommend. I took invokana because I am insulin intolerant. Taking only 1 tablet 1Xday the PA wanted to increase to 3 times a day, sugars still high. I said no because It seemed to be causing some kidney problems. The end of January 2014 I had a pancreas attack. Being is great pain I was admitted to hospital and found out my pancreas was inflamed.  I have had 2 children, kidney stones and
					...
					",1 to 6 months
9/8/2014,4,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",NA,Patient,5,"I do not recommend. I took invokana because I am insulin intolerant. Taking only 1 tablet 1Xday the PA wanted to increase to 3 times a day, sugars still high. I said no because It seemed to be causing some kidney problems. The end of January 2014 I had a pancreas attack. Being is great pain I was admitted to hospital and found out my pancreas was inflamed.  I have had 2 children, kidney stones and hysterectomy.  All those were a piece of cake  compared to an inflamed pancreas.  Going NPO for 3 days was no picnic.  Learning to eat again is still a problem.  My pancreas is still inflamed and constantly watched.  I have had 4 CT scans with dye since then.  I would not give or take Invokana ever again, the chance of getting pancreatitis is too great.",1 to 6 months
9/4/2014,5,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,5,"BS values went way down after just the first few days on it.  Weight loss also came after some time on it.  Frequent urination at first, not as much in month 3",1 to 6 months
9/2/2014,1,45-54,1,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,1,"BS values went way down after just the first few days on it.  Weight loss also came after some time on it.  Frequent urination at first, not as much in month 3",less than 1 month
8/27/2014,5,35-44,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,"Fasting BS have been around 200.  Tried just about everything and nothing worked.  After second dose of Invokana, my fasting BS was 97.  Really no side effects for me.",1 to 6 months
9/21/2014,5,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,4,Had serious doubts because its so new but I have not had anything adverse to speak of...In the beginning I felt slightly lightheaded but remembered that Invoksna can cause dehydration and dehydration can cause light hesdedness...so I drank more water and the dizziness stopped!...I'm fine with it.,less than 1 month
9/19/2014,5,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,5,Had serious doubts because its so new but I have not had anything adverse to speak of...In the beginning I felt slightly lightheaded but remembered that Invoksna can cause dehydration and dehydration can cause light hesdedness...so I drank more water and the dizziness stopped!...I'm fine with it.,less than 1 month
9/19/2014,1,55-64,4,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,3,I have been on it for about 4 weeks and it has been amazing.  My last A1C was over 10 and I was trying everything to get it down.  This one little 100mg pill in the morning changed all that.  Over the last 3 1/2 weeks i have not had a glucose reading over 130!!,less than 1 month
9/12/2014,5,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,I have been on it for about 4 weeks and it has been amazing.  My last A1C was over 10 and I was trying everything to get it down.  This one little 100mg pill in the morning changed all that.  Over the last 3 1/2 weeks i have not had a glucose reading over 130!!,1 to less than 2 years
9/11/2014,3,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,2,"Developed sever nausea and vomiting after 3 days after taking 100 mg. daily. Extremely lightheaded, and slightly unstable on my feet.  ALWAYS in the bathroom urinating, that was crazy. I was using samples and I am glad I did because my insurance would not cover the this medication.  I stopped the medication!  ",less than 1 month
9/15/2013,1,65-74,5,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,2,"I am taking it for weight loss in addition to diabetes.  The weight loss seems to be accomplished by a low grade nasuau or uncomfortable feeling in the stomach.  Does not occur all of the time but some of the time both before and after eating.  Removes a lot of the pleasure of eating by making me feel crappy.  Also much more lightheadedness and things along those lines.  Probably going to stop tak
					...
					",less than 1 month
9/4/2013,5,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,I am taking it for weight loss in addition to diabetes.  The weight loss seems to be accomplished by a low grade nasuau or uncomfortable feeling in the stomach.  Does not occur all of the time but some of the time both before and after eating.  Removes a lot of the pleasure of eating by making me feel crappy.  Also much more lightheadedness and things along those lines.  Probably going to stop taking it.  I will take insulin by injecton over this crap any day.,1 to 6 months
8/6/2013,3,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,3,"I have been on U-500 ( a highly concentrated insulin) for over 5 years, I take 20uts 3x daily and 50uts of Levemir at night.  My A1C was always between 11-13. I was taking equivalent of 300 uts of reg insulin a day with Levemir at night.  I started on the 100mg and now I am taking the 300mg.  I am down to 5uts of U-500 3x daily and 25uts of Levemir at night. My sugars now average at 120 and are ne
					...
					",less than 1 month
10/7/2013,1,55-64,3,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,3,"Easy to use, however, weak, lightheaded, loss of appetite.  Numbers a little better after taking.",1 to 6 months
10/5/2013,1,65-74,4,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,3,"Easy to use, however, weak, lightheaded, loss of appetite.  Numbers a little better after taking.",less than 1 month
9/28/2013,1,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,1,"I have never had such a terrible yeast infection in my life, since I was on invokana.",less than 1 month
9/17/2013,3,,3,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,3,"I have never had such a terrible yeast infection in my life, since I was on invokana.",1 to 6 months
9/17/2013,1,,3,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,2,"I have been taking for almost a month, I am not very satisfied with the effects. My numbers have not gone down to where I want them still in the 200's from 300-400 before taking the drug.  Will not continue only using because was given a free 30 day sample.  Can not afford the drug at $300 per month.
",less than 1 month
10/27/2013,1,45-54,1,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,1,"After the second day, I broke out in a reaction.  I had hives from head to toe.  Until now, I have not been allergic to anything.  The doctor had to prescribe a steroid to offset the effects.",less than 1 month
10/23/2013,4,35-44,4,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,5,"After the second day, I broke out in a reaction.  I had hives from head to toe.  Until now, I have not been allergic to anything.  The doctor had to prescribe a steroid to offset the effects.",1 to 6 months
10/16/2013,4,35-44,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,4,"Middle aged male with Type2 here.  Overall my BS numbers were OK but could be better (that's mainly on me due to my diet could be better).  Invokana caused my BS to plummet to normal ranges (and was a cause for my first sub 100 since I was diagnosed).  Definitely see increased urination, but not uncontrollable.  Doctor warned me about possible urinary tract yeast infections but haven't see
					...
					",1 to 6 months
